analysis_category,date_value,cve_count,activity_classification
DAILY_TREND,2025-06-10T14:43:04.590Z,1,Normal
DAILY_TREND,2025-06-10T14:33:18.872Z,1,Normal
DAILY_TREND,2025-06-10T14:27:39.485Z,1,Normal
DAILY_TREND,2025-06-10T10:31:02.099Z,1,Normal
DAILY_TREND,2025-06-10T10:29:40.282Z,1,Normal
DAILY_TREND,2025-06-10T00:00:00.000Z,1,Normal
DAILY_TREND,2025-06-09T17:57:47.731Z,1,Normal
DAILY_TREND,2025-06-09T00:00:00.000Z,1,Normal
DAILY_TREND,2025-06-07T11:17:51.323Z,1,Normal
DAILY_TREND,2025-06-07T11:17:49.971Z,1,Normal
DAILY_TREND,2025-06-07T00:00:00.000Z,1,Normal
DAILY_TREND,2025-06-06T15:53:24.123Z,1,Normal
DAILY_TREND,2025-06-06T15:53:13.936Z,1,Normal
DAILY_TREND,2025-06-06T15:53:09.479Z,1,Normal
DAILY_TREND,2025-06-06T15:53:04.614Z,1,Normal
DAILY_TREND,2025-06-06T06:42:00.360Z,1,Normal
DAILY_TREND,2025-06-06T03:24:32.260Z,1,Normal
DAILY_TREND,2025-06-06T01:28:38.990Z,1,Normal
DAILY_TREND,2025-06-06T01:27:08.207Z,1,Normal
DAILY_TREND,2025-06-06T01:08:52.194Z,1,Normal
DAILY_TREND,2025-06-04T08:01:43.117Z,1,Normal
DAILY_TREND,2025-06-04T04:45:07.342Z,1,Normal
DAILY_TREND,2025-06-03T14:48:55.648Z,1,Normal
DAILY_TREND,2025-06-03T12:59:10.908Z,1,Normal
DAILY_TREND,2025-06-03T09:43:27.726Z,1,Normal
DAILY_TREND,2025-06-03T09:43:27.168Z,1,Normal
DAILY_TREND,2025-06-03T09:43:26.596Z,1,Normal
DAILY_TREND,2025-06-03T05:52:57.455Z,1,Normal
DAILY_TREND,2025-06-03T05:52:55.940Z,1,Normal
DAILY_TREND,2025-06-03T05:52:54.550Z,1,Normal
DAILY_TREND,2025-06-03T05:52:53.147Z,1,Normal
DAILY_TREND,2025-06-03T05:52:52.029Z,1,Normal
DAILY_TREND,2025-06-03T05:52:50.844Z,1,Normal
DAILY_TREND,2025-06-03T05:52:49.688Z,1,Normal
DAILY_TREND,2025-06-03T05:52:48.537Z,1,Normal
DAILY_TREND,2025-06-03T05:52:47.377Z,1,Normal
DAILY_TREND,2025-06-03T05:52:46.186Z,1,Normal
DAILY_TREND,2025-06-02T16:51:16.948Z,1,Normal
DAILY_TREND,2025-06-02T16:48:12.479Z,1,Normal
DAILY_TREND,2025-06-02T16:44:28.668Z,1,Normal
DAILY_TREND,2025-06-02T16:42:19.264Z,1,Normal
DAILY_TREND,2025-06-02T16:38:33.113Z,1,Normal
DAILY_TREND,2025-06-02T15:00:18.000Z,1,Normal
DAILY_TREND,2025-06-02T15:00:17.160Z,1,Normal
DAILY_TREND,2025-06-02T15:00:15.419Z,1,Normal
DAILY_TREND,2025-06-02T12:44:31.161Z,1,Normal
DAILY_TREND,2025-06-02T03:24:16.905Z,1,Normal
DAILY_TREND,2025-06-02T00:00:00.000Z,1,Normal
DAILY_TREND,2025-05-30T15:54:23.554Z,1,Normal
DAILY_TREND,2025-05-30T15:51:35.047Z,1,Normal
DAILY_TREND,2025-05-30T15:36:13.985Z,1,Normal
DAILY_TREND,2025-05-30T15:17:47.318Z,1,Normal
DAILY_TREND,2025-05-30T15:16:03.066Z,1,Normal
DAILY_TREND,2025-05-30T15:09:58.520Z,1,Normal
DAILY_TREND,2025-05-30T15:04:09.940Z,1,Normal
DAILY_TREND,2025-05-30T14:54:32.417Z,1,Normal
DAILY_TREND,2025-05-30T01:16:47.829Z,1,Normal
DAILY_TREND,2025-05-29T19:18:06.431Z,1,Normal
DAILY_TREND,2025-05-29T09:02:15.144Z,1,Normal
DAILY_TREND,2025-05-29T00:00:00.000Z,1,Normal
DAILY_TREND,2025-05-28T17:34:32.181Z,1,Normal
DAILY_TREND,2025-05-28T17:23:53.064Z,1,Normal
DAILY_TREND,2025-05-28T16:24:57.162Z,1,Normal
DAILY_TREND,2025-05-28T15:22:39.745Z,1,Normal
DAILY_TREND,2025-05-28T15:21:00.248Z,1,Normal
DAILY_TREND,2025-05-28T07:55:32.497Z,1,Normal
DAILY_TREND,2025-05-28T00:00:00.000Z,1,Normal
DAILY_TREND,2025-05-27T22:41:38.125Z,1,Normal
DAILY_TREND,2025-05-27T22:11:30.325Z,1,Normal
DAILY_TREND,2025-05-27T18:35:31.706Z,1,Normal
